label,detail,labelDetails,documentation,kind
wavg,weighted average,weighted average,wavg[weights;numbers],2
where,to indices,to indices,where[numbers]|where[booleans],2
while,evaluate expression repeatedly,evaluate expression repeatedly,while[test;e1;e2...],2
within,check bounds,check bounds,within[list;range],2
wj,window join(consider prevailing quotes before window),window join(consider prevailing quotes before window),wj[windows;syms;table;(table;(aggr;sym)<;(aggr;sym)>)],2
wj1,window join(consider quotes after entry to the window),window join(consider quotes after entry to the window),wj1[windows;syms;table;(table;(aggr;sym)<;(aggr;sym)>)],2
wsum,weighted sum,weighted sum,wsum[weights;numbers],2
xasc,ascending sort table by columns,ascending sort table by columns,xasc[syms;table],2
xcol,rename columns,rename columns,xcol[syms;table],2
xcols,reorder columns,reorder columns,xcols[syms;table],2
xdesc,descending sort table by columns,descending sort table by columns,xdesc[syms;table],2
xexp,power,power,xexp[bases;powers],2
xlog,logarithm,logarithm,xlog[bases;numbers],2
xprev,shift each to prev by number,shift each to prev by number,xprev[int;list],2
xbar,round down to multiples,round down to multiples,xbar[base;numbers|termporals],2
xgroup,group by values in selected columns,group by values in selected columns,xgroup[syms;table],2
xkey,set key columns,set key columns,xkey[syms;table],2
xrank,group by value,group by value,xrank[int;list],2
.h.br,linebreak,linebreak,.h.br,6
.h.c0,web color,web color,.h.c0,6
.h.c1,web color,web color,.h.c1,6
.h.cd,CSV from data,CSV from data,.h.cd[table|list],2
.h.code,code after Tab,code after Tab,.h.code[string],2
.h.d,delimiter,delimiter,.h.d,6
.h.ed,Excel from data,Excel from data,.h.ed[table],2
.h.edsn,Excel from tables,Excel from tables,.h.edsn[sheet syms!tables],2
.h.fram,frame,frame,.h.fram[title string;strings;(left frame strings;right frame strings)],2
.h.ha,anchor,anchor,.h.ha[url;string],2
.h.hb,anchor target,anchor target,.h.hb[url;string],2
.h.hc,escape lt,escape lt,.h.hc[string],2
.h.he,HTTP 400,HTTP 400,.h.he[string],2
.h.hn,HTTP response,HTTP response,.h.hn[status code string;content type sym;content string],2
.h.HOME,webserver root,webserver root,.h.HOME,6
.h.hp,HTTP response pre,HTTP response pre,.h.hp[string],2
.h.hr,horizontal rule,horizontal rule,.h.hr[string],2
.h.ht,Marqdown to HTML,Marqdown to HTML,.h.ht[file],2
.h.hta,start tag,start tag,.h.hta[HTML tag sym;attributes!values],2
.h.htac,element,element,.h.htac[HTML tag sym;attributes!values;content],2
.h.htc,element,element,.h.htc[HTML tag sym;content],2
.h.html,document,document,.h.html[html body string],2
.h.http,hyperlinks,hyperlinks,.h.http[string],2
.h.hu,URI escape,URI escape,.h.hu[string],2
.h.hug,URI map,URI map,.h.hug[string],2
.h.hy,HTTP response content,HTTP response content,.h.hy[http content type sym;string],2
.h.iso8601,ISO timestamp,ISO timestamp,.h.iso8601[nanoseconds],2
.h.jx,table,table,.h.jx[offset;table sym],2
.h.logo,Kx logo,Kx logo,.h.logo,6
.h.nbr,no break,no break,.h.nbr[string],2
.h.pre,pre,pre,.h.pre[strings],2
.h.sa,anchor style,anchor style,.h.sa,6
.h.sb,body style,body style,.h.sb,6
.h.sc,URI-safe,URI-safe,.h.sc,6
.h.td,TSV from data,TSV from data,.h.td[table],2
.h.text,paragraphs,paragraphs,.h.text[strings],2
.h.tx,filetypes,filetypes,.h.tx,6
.h.ty,MIME types,MIME types,.h.ty,6
.h.uh,URI unescape,URI unescape,.h.uh[string],2
.h.val,value,value,.h.val:{[expression]},2
.h.xd,XML,XML,.h.xd[table],2
.h.xmp,XMP,XMP,.h.xmp[strings],2
.h.xs,XML escape,XML escape,.h.xs[string],2
.h.xt,JSON,JSON,.h.xt[`json;json string],2
.j.j,serialize,serialize,.j.j[any],2
.j.k,deserialize,deserialize,.j.k[string],2
.j.jd,serialize infinity,serialize infinity,".j.jd[any;()!()|(!). 1#'`null0w,1b]",2
.Q.a,lowercase alphabet,lowercase alphabet,.Q.a,6
.Q.A,uppercase alphabet,uppercase alphabet,.Q.A,6
.Q.addmonths,add months to date,add months to date,.Q.addmonths[dates;ints],2
.Q.addr,IP address,IP address,.Q.addr[sym],2
.Q.b6,bicameral-alphanums,bicameral-alphanums,.Q.b6,6
.Q.bt,backtrace(error or debug),backtrace(error or debug),.Q.bt[],2
.Q.btoa,b64 encode,b64 encode,.Q.btoa[string],2
